,date,value,type
332,2016-12-02,121.43,open
332,2016-12-02,119.940002,close
333,2016-12-03,121.43,open
333,2016-12-03,119.940002,close
334,2016-12-04,121.43,open
334,2016-12-04,119.940002,close
335,2016-12-05,120.690002,open
335,2016-12-05,121.480003,close
336,2016-12-06,121.480003,open
336,2016-12-06,124.760002,close
337,2016-12-07,124.900002,open
337,2016-12-07,124.75,close
338,2016-12-08,125.190002,open
338,2016-12-08,123.0,close
339,2016-12-09,122.800003,open
339,2016-12-09,122.790001,close
340,2016-12-10,122.800003,open
340,2016-12-10,122.790001,close
341,2016-12-11,122.800003,open
341,2016-12-11,122.790001,close
342,2016-12-12,122.639999,open
342,2016-12-12,121.209999,close
343,2016-12-13,126.449997,open
343,2016-12-13,124.459999,close
344,2016-12-14,124.0,open
344,2016-12-14,122.260002,close
345,2016-12-15,122.800003,open
345,2016-12-15,122.370003,close
346,2016-12-16,122.440002,open
346,2016-12-16,122.330002,close
347,2016-12-17,122.440002,open
347,2016-12-17,122.330002,close
348,2016-12-18,122.440002,open
348,2016-12-18,122.330002,close
349,2016-12-19,122.32,open
349,2016-12-19,123.629997,close
350,2016-12-20,124.330002,open
350,2016-12-20,123.839996,close
351,2016-12-21,123.900002,open
351,2016-12-21,122.989998,close
352,2016-12-22,122.519997,open
352,2016-12-22,122.849998,close
353,2016-12-23,123.089996,open
353,2016-12-23,124.489998,close
354,2016-12-24,123.089996,open
354,2016-12-24,124.489998,close
355,2016-12-25,123.089996,open
355,2016-12-25,124.489998,close
356,2016-12-26,123.089996,open
356,2016-12-26,124.489998,close
357,2016-12-27,124.57,open
357,2016-12-27,124.279999,close
358,2016-12-28,124.300003,open
358,2016-12-28,122.379997,close
359,2016-12-29,122.449997,open
359,2016-12-29,122.169998,close
360,2016-12-30,122.589996,open
360,2016-12-30,122.279999,close
